"Date","Price","Open","High","Low","Vol.","Change %"
"Aug 06, 2020","76.0222","76.0222","76.0222","76.0222","-","-1.52%"
"Aug 05, 2020","77.1917","77.1917","77.1917","77.1917","-","-0.64%"
"Aug 04, 2020","77.6908","77.6908","77.6908","77.6908","-","-1.80%"
"Aug 03, 2020","79.1121","79.1121","79.1121","79.1121","-","-4.92%"
"Aug 02, 2020","83.2049","83.2049","83.2049","83.2049","-","9.39%"
"Aug 01, 2020","76.0637","76.0637","76.0637","76.0637","-","13.26%"
"Jul 31, 2020","67.1604","67.1604","67.1604","67.1604","-","0.60%"
"Jul 30, 2020","66.7597","66.7597","66.7597","66.7597","-","-5.15%"
"Jul 29, 2020","70.3863","70.3863","70.3863","70.3863","-","-3.66%"
"Jul 28, 2020","73.0612","73.0612","73.0612","73.0612","-","-6.70%"
"Jul 27, 2020","78.3046","78.3046","78.3046","78.3046","-","22.01%"
"Jul 26, 2020","64.1776","64.1776","64.1776","64.1776","-","9.65%"
"Jul 25, 2020","58.5315","58.5315","58.5315","58.5315","-","1.43%"
"Jul 24, 2020","57.7057","57.7057","57.7057","57.7057","-","-3.47%"
"Jul 23, 2020","59.7790","59.7790","59.7790","59.7790","-","2.42%"
"Jul 22, 2020","58.3640","58.3640","58.3640","58.3640","-","0.27%"
"Jul 21, 2020","58.2049","58.2049","58.2049","58.2049","-","1.83%"
"Jul 20, 2020","57.1607","57.1607","57.1607","57.1607","-","-1.47%"
"Jul 19, 2020","58.0127","58.0127","58.0127","58.0127","-","1.66%"
"Jul 18, 2020","57.0635","57.0635","57.0635","57.0635","-","-1.68%"
"Jul 17, 2020","58.0369","58.0369","58.0369","58.0369","-","-5.22%"
"Jul 16, 2020","61.2351","61.2351","61.2351","61.2351","-","-0.46%"
"Jul 15, 2020","61.5195","61.5195","61.5195","61.5195","-","0.92%"
"Jul 14, 2020","60.9589","60.9589","60.9589","60.9589","-","-1.12%"
"Jul 13, 2020","61.6496","61.6496","61.6496","61.6496","-","-0.16%"
"Jul 12, 2020","61.7481","61.7481","61.7481","61.7481","-","0.84%"
"Jul 11, 2020","61.2342","61.2342","61.2342","61.2342","-","0.84%"
"Jul 10, 2020","60.7269","60.7269","60.7269","60.7269","-","-4.69%"
"Jul 09, 2020","63.7122","63.7122","63.7122","63.7122","-","1.25%"
"Jul 08, 2020","62.9236","62.9236","62.9236","62.9236","-","3.07%"
"Jul 07, 2020","61.0466","61.0466","61.0466","61.0466","-","2.55%"
"Jul 06, 2020","59.5277","59.5277","59.5277","59.5277","-","2.64%"
"Jul 05, 2020","57.9973","57.9973","57.9973","57.9973","-","4.20%"
"Jul 04, 2020","55.6592","55.6592","55.6592","55.6592","-","3.06%"
"Jul 03, 2020","54.0072","54.0072","54.0072","54.0072","-","-2.32%"
"Jul 02, 2020","55.2919","55.2919","55.2919","55.2919","-","-3.99%"
"Jul 01, 2020","57.5897","57.5897","57.5897","57.5897","-","-4.62%"
"Jun 30, 2020","60.3818","60.3818","60.3818","60.3818","-","-2.76%"
"Jun 29, 2020","62.0949","62.0949","62.0949","62.0949","-","-0.95%"
"Jun 28, 2020","62.6901","62.6901","62.6901","62.6901","-","4.36%"
"Jun 27, 2020","60.0690","60.0690","60.0690","60.0690","-","-1.66%"
"Jun 26, 2020","61.0858","61.0858","61.0858","61.0858","-","-11.49%"
"Jun 25, 2020","69.0190","69.0190","69.0190","69.0190","-","-3.06%"
"Jun 24, 2020","71.1950","71.1950","71.1950","71.1950","-","0.51%"
"Jun 23, 2020","70.8318","70.8318","70.8318","70.8318","-","-0.56%"
"Jun 22, 2020","71.2310","71.2310","71.2310","71.2310","-","0.13%"
"Jun 21, 2020","71.1372","71.1372","71.1372","71.1372","-","0.69%"
